Flow #1
Flow info:,3146365.0,1280.0,0.0,454.1,585.2533069819711,174798.0,528969.6552517947,2245477.0,0.0,3146365.0,393295.61591148376,762502.4575973089,2245477.0,0.0,599415.0,66601.64727105034,130993.46722881548,322641.0,0.0,0.0,2.8604437844870247,1300.0,339.94736842105266,521.5884364861087,272054.49707602337,1.0,1.0,1.0,1.0,0.0,361.2105263157895,454.1,65535.0,26883.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #2
Flow info:,3439332.0,126.0,0.0,31.5,63.0,264564.0,869482.7645443513,3146128.0,0.0,293074.0,32563.792334662543,97236.14392984503,291858.0,0.0,3437634.0,1145877.997080485,1738230.5853501598,3146128.0,1893.0,0.0,2.9075413410766022,1280.0,415.57142857142856,574.2861407247883,329804.5714285714,1.0,0.0,1.0,1.0,0.0,435.57142857142856,31.5,116.0,255.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #3
Flow info:,3186459.0,1280.0,0.0,683.625,606.3459496972712,212431.0,749762.1667196176,2921259.0,0.0,3186459.0,455208.43778337754,1088345.8064194103,2921259.0,0.0,152910.0,21844.284875052315,24154.29100621366,57340.0,0.0,0.0,2.510623810978215,1300.0,461.5625,571.135356840507,326195.5958333333,1.0,1.0,1.0,1.0,0.0,483.0625,683.625,65535.0,65535.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #4
Flow info:,2208374.0,1280.0,0.0,455.4,585.2033264886089,129904.0,342912.1170700336,1398503.0,0.0,2208374.0,315482.00334821426,496084.9093682112,1398503.0,0.0,547970.0,60885.56183709038,118343.95634453584,276871.0,0.0,0.0,3.6225747609308496,1300.0,361.6111111111111,530.7069800679188,281649.89869281044,1.0,1.0,1.0,1.0,0.0,382.94444444444446,455.4,65535.0,26883.0,0.0,0.0,0.0,0.0,0.0
--------------------------------------------------------------------------------------------------
Flow #5
